;ipca;expfocus;crb;hiato;des;credibilidade;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;d11;selic;dcambio;tjlp_cdb;exprac;ipcacheio
jan/03;1,64;1,02;2,168980985;-1,235147143;10,97399376;-3,703000465;1;0;0;0;0;0;0;0;0;0;0;25,06;-0,1875;-14,67699423;1,568421315;2,25
fev/03;1,12;0,78;1,056712002;-0,301272099;11,40797702;-3,361111111;0;1;0;0;0;0;0;0;0;0;0;25,68;0,1524;-14,76908813;1,104213156;1,57
mar/03;1,29;0,72;-6,67515824;1,547668621;11,67540091;-3,0625;0;0;1;0;0;0;0;0;0;0;0;26,32;-0,1439;-14,73790091;0,707529728;1,23
abr/03;0,87;0,62;-13,98730442;0,844459734;11,47171359;-2,777777778;0;0;0;1;0;0;0;0;0;0;0;26,32;-0,3282;-14,24949137;0,366144709;0,97
mai/03;0,53;0,6;3,82927565;-0,153091662;10,62583817;-2,506944444;0;0;0;0;1;0;0;0;0;0;0;26,31;-0,163;-13,13278261;0,563717327;0,61
jun/03;0,2;1,21;-3,705209709;-1,090190577;9,852165317;-1,798281;0;0;0;0;0;1;0;0;0;0;0;26,09;-0,0725;-11,65044632;0,123499902;-0,15
jul/03;-0,01;0,62;4,117899738;0,650697929;9,496376837;-0,819746536;0;0;0;0;0;0;1;0;0;0;0;25,36;-0,0034;-10,31612337;0,173625384;0,2
ago/03;0,13;0,48;1,244609524;-0,204494775;9,503203148;-0,737144898;0;0;0;0;0;0;0;1;0;0;0;23,5;0,1227;-10,24034805;1,008038313;0,34
set/03;0,52;0,5;3,947853875;0,207294015;9,893860939;-0,658495364;0;0;0;0;0;0;0;0;1;0;0;21,02;-0,0797;-10,5523563;1,081218835;0,78
out/03;0,38;0,52;1,815467873;0,939663032;9,880475654;-0,729600694;0;0;0;0;0;0;0;0;0;1;0;19,54;-0,0613;-10,61007635;0,791054522;0,29
nov/03;0,33;0,46;2,113656025;-0,547057555;9,99605572;-0,316687563;0;0;0;0;0;0;0;0;0;0;1;18,31;0,0523;-10,31274328;1,003505177;0,34
dez/03;0,54;0,58;0,543583979;-1,679852228;10,09412609;-0,25;0;0;0;0;0;0;0;0;0;0;0;16,91;0,0115;-10,34412609;0,883904726;0,52
