date;ipca_livres;ipca_total
01/01/2002;0,58;0,52
01/02/2002;0,63;0,36
01/03/2002;0,38;0,6
01/04/2002;0,29;0,8
01/05/2002;0,18;0,21
01/06/2002;0,15;0,42
01/07/2002;0,67;1,19
01/08/2002;0,84;0,65
01/09/2002;1,03;0,72
01/10/2002;1,36;1,31
01/11/2002;2,53;3,02
01/12/2002;2,32;2,1
01/01/2003;1,64;2,25
01/02/2003;1,12;1,57
01/03/2003;1,29;1,23
01/04/2003;0,87;0,97
01/05/2003;0,53;0,61
01/06/2003;0,2;-0,15
01/07/2003;-0,01;0,2
01/08/2003;0,13;0,34
01/09/2003;0,52;0,78
01/10/2003;0,38;0,29
01/11/2003;0,33;0,34
01/12/2003;0,54;0,52
01/01/2004;0,73;0,76
01/02/2004;0,75;0,61
01/03/2004;0,69;0,47
01/04/2004;0,39;0,37
01/05/2004;0,57;0,51
01/06/2004;0,58;0,71
01/07/2004;0,52;0,91
01/08/2004;0,6;0,69
01/09/2004;0,22;0,33
01/10/2004;0,29;0,44
01/11/2004;0,39;0,69
01/12/2004;0,62;0,86
01/01/2005;0,61;0,58
01/02/2005;0,77;0,59
01/03/2005;0,33;0,61
01/04/2005;0,76;0,87
01/05/2005;0,59;0,49
01/06/2005;0,04;-0,02
01/07/2005;0;0,25
01/08/2005;-0,05;0,17
01/09/2005;0,1;0,35
01/10/2005;0,38;0,75
01/11/2005;0,42;0,55
01/12/2005;0,29;0,36
01/01/2006;0,6;0,59
01/02/2006;0,4;0,41
01/03/2006;0,31;0,43
01/04/2006;0,04;0,21
01/05/2006;-0,08;0,1
01/06/2006;-0,35;-0,21
01/07/2006;0,13;0,19
01/08/2006;0,09;0,05
01/09/2006;0,21;0,21
01/10/2006;0,43;0,33
01/11/2006;0,45;0,31
01/12/2006;0,32;0,48
01/01/2007;0,52;0,44
01/02/2007;0,59;0,44
01/03/2007;0,44;0,37
01/04/2007;0,19;0,25
01/05/2007;0,25;0,28
01/06/2007;0,43;0,28
01/07/2007;0,45;0,24
01/08/2007;0,62;0,47
01/09/2007;0,28;0,18
01/10/2007;0,41;0,3
01/11/2007;0,43;0,38
01/12/2007;0,98;0,74
01/01/2008;0,69;0,54
01/02/2008;0,66;0,49
01/03/2008;0,48;0,48
01/04/2008;0,72;0,55
01/05/2008;1,02;0,79
01/06/2008;0,96;0,74
01/07/2008;0,5;0,53
01/08/2008;0,25;0,28
01/09/2008;0,3;0,26
01/10/2008;0,54;0,45
01/11/2008;0,44;0,36
01/12/2008;0,28;0,28
01/01/2009;0,37;0,48
01/02/2009;0,67;0,55
01/03/2009;0,23;0,2
01/04/2009;0,47;0,48
01/05/2009;0,54;0,47
01/06/2009;0,42;0,36
01/07/2009;0,1;0,24
01/08/2009;0,15;0,15
01/09/2009;0,18;0,24
01/10/2009;0,22;0,28
01/11/2009;0,42;0,41
01/12/2009;0,31;0,37
01/01/2010;0,72;0,75
01/02/2010;0,93;0,78
01/03/2010;0,8;0,52
01/04/2010;0,75;0,57
01/05/2010;0,47;0,43
01/06/2010;-0,05;0
01/07/2010;-0,12;0,01
01/08/2010;0,06;0,04
01/09/2010;0,56;0,45
01/10/2010;0,94;0,75
01/11/2010;1,04;0,83
01/12/2010;0,78;0,63
01/01/2011;0,79;0,83
01/02/2011;0,93;0,8
01/03/2011;0,68;0,79
01/04/2011;0,56;0,77
01/05/2011;0,44;0,47
01/06/2011;0,26;0,15
01/07/2011;0,11;0,16
01/08/2011;0,51;0,37
01/09/2011;0,49;0,53
01/10/2011;0,42;0,43
01/11/2011;0,62;0,52
01/12/2011;0,63;0,5
01/01/2012;0,59;0,56
01/02/2012;0,51;0,45
01/03/2012;0,22;0,21
01/04/2012;0,69;0,64
01/05/2012;0,37;0,36
01/06/2012;0,06;0,08
01/07/2012;0,51;0,43
01/08/2012;0,5;0,41
01/09/2012;0,66;0,57
01/10/2012;0,7;0,59
01/11/2012;0,62;0,6
01/12/2012;0,94;0,79
01/01/2013;1,2;0,86
01/02/2013;1,13;0,6
01/03/2013;0,53;0,47
01/04/2013;0,59;0,55
01/05/2013;0,39;0,37
01/06/2013;0,22;0,26
01/07/2013;0,12;0,03
01/08/2013;0,29;0,24
01/09/2013;0,41;0,35
01/10/2013;0,7;0,57
01/11/2013;0,56;0,54
01/12/2013;0,92;0,92
01/01/2014;0,6;0,55
01/02/2014;0,78;0,69
01/03/2014;1,2;0,92
01/04/2014;0,64;0,67
01/05/2014;0,42;0,46
01/06/2014;0,44;0,4
01/07/2014;-0,1;0,01
01/08/2014;0,17;0,25
01/09/2014;0,62;0,57
01/10/2014;0,43;0,42
01/11/2014;0,45;0,51
01/12/2014;0,88;0,78
01/01/2015;0,87;1,24
01/02/2015;0,88;1,22
01/03/2015;0,7;1,32
01/04/2015;0,69;0,71
01/05/2015;0,59;0,74
01/06/2015;0,69;0,79
01/07/2015;0,45;0,62
01/08/2015;0,19;0,22
01/09/2015;0,42;0,54
01/10/2015;0,64;0,82
01/11/2015;0,98;1,01
01/12/2015;1,1;0,96
01/01/2016;1,12;1,27
01/02/2016;1,06;0,9
01/03/2016;0,68;0,43
01/04/2016;0,58;0,61
01/05/2016;0,58;0,78
01/06/2016;0,39;0,35
01/07/2016;0,72;0,52
01/08/2016;0,5;0,44
01/09/2016;-0,01;0,08
01/10/2016;0,17;0,26
01/11/2016;0,17;0,18
01/12/2016;0,4;0,3
01/01/2017;0,25;0,38
01/02/2017;0,25;0,33
01/03/2017;0,18;0,25
01/04/2017;0,38;0,14
01/05/2017;-0,09;0,31
01/06/2017;-0,04;-0,23
01/07/2017;-0,09;0,24
01/08/2017;-0,31;0,19
01/09/2017;0,13;0,16
01/10/2017;0,23;0,42
01/11/2017;-0,07;0,28
01/12/2017;0,52;0,44
01/01/2018;0,32;0,29
01/02/2018;0,24;0,32
01/03/2018;0,04;0,09
01/04/2018;0,09;0,22
01/05/2018;0,07;0,4
01/06/2018;0,83;1,26
01/07/2018;0,13;0,33
01/08/2018;-0,16;-0,09
01/09/2018;0,31;0,48
