date;ic_br
01/01/2002;61,05
01/02/2002;60,73
01/03/2002;58,55
01/04/2002;56,23
01/05/2002;60,35
01/06/2002;66,65
01/07/2002;75,86
01/08/2002;80,62
01/09/2002;89,93
01/10/2002;103,93
01/11/2002;101,27
01/12/2002;104,56
01/01/2003;101,45
01/02/2003;109,05
01/03/2003;100,18
01/04/2003;90,84
01/05/2003;87,33
01/06/2003;83,96
01/07/2003;85,02
01/08/2003;90,1
01/09/2003;89,66
01/10/2003;91,32
01/11/2003;94,54
01/12/2003;97,29
01/01/2004;93,51
01/02/2004;97,12
01/03/2004;101,58
01/04/2004;103,32
01/05/2004;112,08
01/06/2004;112,58
01/07/2004;107,88
01/08/2004;106,13
01/09/2004;104,61
01/10/2004;104,91
01/11/2004;103,13
01/12/2004;101,43
01/01/2005;101,11
01/02/2005;98,34
01/03/2005;106,82
01/04/2005;99,86
01/05/2005;93,24
01/06/2005;90,22
01/07/2005;88,68
01/08/2005;90,46
01/09/2005;90,96
01/10/2005;93,09
01/11/2005;91,8
01/12/2005;100
01/01/2006;101,81
01/02/2006;97,57
01/03/2006;93,81
01/04/2006;95,29
01/05/2006;99,12
01/06/2006;99,63
01/07/2006;99,75
01/08/2006;97,05
01/09/2006;94,66
01/10/2006;95,76
01/11/2006;99,88
01/12/2006;100,81
01/01/2007;99,11
01/02/2007;98,79
01/03/2007;98,75
01/04/2007;95,87
01/05/2007;93,91
01/06/2007;92,03
01/07/2007;91,58
01/08/2007;93,84
01/09/2007;94,42
01/10/2007;92,96
01/11/2007;92,79
01/12/2007;93,82
01/01/2008;98
01/02/2008;103,45
01/03/2008;105,36
01/04/2008;105,34
01/05/2008;106,03
01/06/2008;107,75
01/07/2008;104,94
01/08/2008;97,28
01/09/2008;102,22
01/10/2008;102,97
01/11/2008;98,88
01/12/2008;97,98
01/01/2009;96,97
01/02/2009;93,49
01/03/2009;91,32
01/04/2009;90,71
01/05/2009;90,81
01/06/2009;87,34
01/07/2009;85,87
01/08/2009;86,52
01/09/2009;85,82
01/10/2009;86,38
01/11/2009;87,68
01/12/2009;91,77
01/01/2010;96,36
01/02/2010;96,7
01/03/2010;91,3
01/04/2010;90,12
01/05/2010;89,37
01/06/2010;87,96
01/07/2010;89,22
01/08/2010;93,76
01/09/2010;97,74
01/10/2010;102,18
01/11/2010;109,37
01/12/2010;114,05
01/01/2011;119,03
01/02/2011;125,67
01/03/2011;124,77
01/04/2011;120,59
01/05/2011;113,74
01/06/2011;111,36
01/07/2011;110,25
01/08/2011;111,02
01/09/2011;119,35
01/10/2011;115,74
01/11/2011;114,98
01/12/2011;113,62
01/01/2012;114,48
01/02/2012;111,7
01/03/2012;114,1
01/04/2012;113,8
01/05/2012;115,6
01/06/2012;115,24
01/07/2012;123,8
01/08/2012;124,72
01/09/2012;126,94
01/10/2012;125,61
01/11/2012;126,94
01/12/2012;128,75
01/01/2013;126,11
01/02/2013;122
01/03/2013;120,11
01/04/2013;118,01
01/05/2013;118,19
01/06/2013;124,03
01/07/2013;126,62
01/08/2013;131,71
01/09/2013;128,89
01/10/2013;125,28
01/11/2013;129,23
01/12/2013;132,85
01/01/2014;135,37
01/02/2014;140,49
01/03/2014;140,66
01/04/2014;136,79
01/05/2014;134,28
01/06/2014;133,55
01/07/2014;131,3
01/08/2014;129,87
01/09/2014;132,39
01/10/2014;139,28
01/11/2014;144,97
01/12/2014;144,54
01/01/2015;137,64
01/02/2015;143,96
01/03/2015;155,69
01/04/2015;151,96
01/05/2015;153,7
01/06/2015;155,07
01/07/2015;160,33
01/08/2015;168
01/09/2015;183,62
01/10/2015;185,03
01/11/2015;176,15
01/12/2015;178,15
01/01/2016;183,39
01/02/2016;180,54
01/03/2016;170,41
01/04/2016;164,72
01/05/2016;166,25
01/06/2016;166,98
01/07/2016;158,77
01/08/2016;155,61
01/09/2016;158,33
01/10/2016;158,07
01/11/2016;166,76
01/12/2016;170,31
01/01/2017;165,23
01/02/2017;159,6
01/03/2017;156,07
01/04/2017;156,15
01/05/2017;160,04
01/06/2017;159,74
01/07/2017;157,57
01/08/2017;154,23
01/09/2017;157,54
01/10/2017;162,52
01/11/2017;171,15
01/12/2017;169,65
01/01/2018;171,2
01/02/2018;171,78
01/03/2018;169,09
01/04/2018;175,83
01/05/2018;191,92
01/06/2018;197,93
01/07/2018;197,04
01/08/2018;198,68
01/09/2018;210,59
